Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Country,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
AeroSet,https://aeroset.net/,"Aerosoft is a ventilation simulation software for the mining industry. Functionality includes the provision to build a ventilation schema, airflow simulator, Automatic processing of ventilation survey data, Recirculation pathways and more. Some of the key clients include Lukoil, Uralkali, Nornickel, Eurochem and others.",Unfunded,n/a,Build,Emerging,2013,Russia,Mining,TRUE,,,,
Hexagon Geospatial,https://www.hexagongeospatial.com,"Hexagon Geospatial is a provider of geospatial tools for the mining industry. Key functions include highlighting the area for potential mineral outcroppings, monitor active or inactive mines and mapping. The product portfolio includes Geospatial SDI, Geospatial portal, Mobile Mapworks and others. Along with mining, they also serve other industries such as agriculture, defense, finance, and others.",Unfunded,n/a,Exploration,Existing,2013,USA,Mining,TRUE,,,,
AIM Inventory,http://www.aiminventory.com.au,"AIM Inventory is an industrial vending solutions provider for the mining industry. Product range includes Robocrib TX750 (Industrial Vending Technology), Autolocker FX (Rack-mounted automated lockers and drawers), Elevend (Glove and PPE vending machine, for high use items), ToolRoom (ToolRoom Automation), AutoCrib Software (Cloud-Based Inventory Management Software), and more. The company provides solutions to Mining and Logistics industries.",Unfunded,n/a,Specialist Services,Existing,2013,Australia,Both,TRUE,,,,
uGPS Rapid Mapper,https://ugpsrapidmapper.com/,"uGPS Rapid mapper is specifically built for underground mining.uGPS Rapid Mapper is a laser-based mobile tunnel mapping that helps in underground mine planning applications. Characteristics include versatility, portability, ease of use and more. Some of the key features include 2 laser scanners, an inertial sensor, an onboard computer, optional Wifi Connectivity, and a RFID tag reader.",Unfunded,n/a,Exploration,Existing,2013,Canada,Mining,TRUE,,,,
Revolution Mining,https://www.revolutionmining.com,"Revolution mining provides schedule optimising tool for the mining industry. Product portfolio contains two versions of the tool SOT v1 and SOT v2. Some of the key features of SOT includes Increase the NPV of the underground mine operation, Assess Mine life, cash flows, and utilisation of equipment and plants, the Detailed specification of recovery factors for each product and much more. SOT imports underground mine design. On import, each mining activity has properties such as length, duration, weight and others. The SOT is then used to evaluate the primary components of scenarios such as discount rate, projected mineral prices, operating costs, and more.",Unfunded,n/a,Optimisation,Existing,2013,Canada,Mining,TRUE,,,,
PeopleTray,http://www.peopletray.com,"PeopleTray is a field operations solution for the mining industry. The solution is used for managing a team, a project, or as an organisation wide safety and compliance management system. Some of the features that are being used by the mining industry include managing safety incidents and risk hazards, risk assess and investigation, maintaining a risk register with controls, Managing the licences and certifications people need to remain compliant for their roles, Submitting activity and progress reports and alert supervisors to risks and hazards identified in the field and more. Pricing of the product is divided according to the role that the user is doing while using the software: For Reader (Free), and For Contributors ($35/month).",Unfunded,n/a,Optimisation,Existing,2013,Australia,Mining,TRUE,,,,
Hexagon Mining,https://hexagonmining.com/,"Hexagon Mining is a complete suite solution for the mining industry. They provide solutions such as Planning Suite, Operations Suite, Safety suite and Survey and Monitoring Suite. Users can select a solution based on function, size, mine type and ore type. Their products help in connect surveying, design, fleet management, production optimisation, and collision avoidance. After the acquisition of Miplan, their product portfolio also includes mobile applications for all its solutions. Hexagon (Nasdaq Stockholm: HEXA B) has more than 17,000 employees in 50 countries and net sales of approximately 3.3bn USD.",Unfunded,n/a,Optimisation,Existing,2013,USA,Mining,TRUE,,,,
ThreeDify,https://threedify.com/,"ThreeDify is a feasibility solution provider that provides solutions such as 3D geological modelling, mine planning, design and scheduling, open pit mine, and underground stope optimisation. Product portfolio includes GeoModeler (geological modelling and resource estimation software), FlowPit (pit optimizer and LOM (Life of Mine) scheduler), Stopemizer (underground stope optimiser), Quickpit(open pit mine design tool), iScheduler (production scheduler for open pit and underground mine scheduling), OptimCut (grade and production rate optimizer), and ExcelCoreBlock (excel-based 3D drill hole data visualizer and simplified block modeller). Some of the key features of the company include cost effective, Highly efficient, and scalable.",Unfunded,n/a,Build,Existing,2013,Canada,Mining,TRUE,,,,
INDIMIN,http://www.indimin.com,"IDIMIN is a company that has developed a platform that detects operation breaches and predicts the future productivity of every element of the process by using technologies like Big Data, IoT, Analytics and Computer Vision.",Unfunded,n/a,Optimisation,Emerging,2013,Chile,Mining,TRUE,,,,
RedBrayn,http://redbrayn.com/,"RedBrayn is a tech-based company focused on solving problems from non-scheduled catastrophic faults that happen for the lack of a predictive maintenance program. It developed Sonus, which focuses on equipment activated by rotational engines, widely used in many industrial processes, enabling the detection of faults up to 3 months in advance.",Unfunded,n/a,Asset Health,Emerging,2013,France,Mining,TRUE,,,,
Active Adrenalin,https://www.activeadrenalin.com.au/services,"At Active Adrenalin we believe that at the heart of sustained performance and success lies the key principle of personal responsibility and a holistic approach to physical, mental and emotional well being.  We work with individuals and leaders to achieve personal goal pursuits along with teams and businesses to optimise productivity, collaboration, resilience and safety performance in the workplace.",Unfunded,n/a,Safety,Existing,2013,Australia,Mining,TRUE,,,,
Quantum Geology,https://www.quantumgeology.com.au/,"Quantum Geology is a system using a hybrid artificial intelligence to analyse huge amounts of geological data , and collate patterns in that data, that a human geologist would never see.

It is a system for rapidly generating exploration targets for gold, that compares the data of thousands of known deposits against data of areas to be explored.",Unfunded,n/a,Exploration,Emerging,2013,Australia,Mining,TRUE,,,,
Riskloop,https://www.riskloop.global/,,Unfunded,n/a,,,2013,,Mining,FALSE,,,,
siteoffice.mobi,https://sitemobi.com.au/,"Sitemobi is a mobile & cloud-based construction project management software. The platform enables construction project managers to upload construction project information, track & schedule project workflows, forecast the real-time project cost, track construction assets, manage contracts, and more. The company's clientele includes Landlease, MGN Civil, and Intelligent Infrastructure Ssolutions, among others.",Unfunded,n/a,Build,Emerging,2013,Australia,Mining,TRUE,,,,
Universal Field Robots,https://universalfieldrobots.com.au/,"The UFR robots are built with the cutting edge sensing and software, allowing them to perceive the world around them like never before. A dedicated team of engineers is developing software that enables fully autonomous, independent control of all of the machine's functions. UFR also utilises physics simulations in order to digitally prototype the ideal solution which dramatically simplifies real-world testing.",Unfunded,n/a,Automation,Distant,2013,Australia,Mining,TRUE,,,,
